,Ti,Fe,Zr,Nb,Sn,Ta,Mo,Al,V,Cr,Hf,Mn,W,Si,Cu,Moeq,Bo,Md,fliter,YS,E,condition_type
134,0.925704544466718,0.0,0.0,0.0,0.0,0.0,0.020524902752585672,0.0,0.0,0.0,0.0,0.05377055278069628,0.0,0.0,0.0,14.02,2.792000671415149,2.3696503946280307,True,1033.0,85.0,5
142,0.9143567272517047,0.0,0.0,0.0,0.006144878761036327,0.0,0.0,0.0,0.0,0.07949839398725915,0.0,0.0,0.0,0.0,0.0,13.105000000000002,2.7860100641342953,2.367833783296267,True,554.0,83.0,0
143,0.9335313732053404,0.0,0.0,0.0,0.0,0.0,0.049310991162183765,0.0,0.0,0.0,0.0,0.0,0.01715763563247582,0.0,0.0,11.64,2.8092097085241554,2.4166007449330005,True,519.0,59.0,0
144,0.9363047521380563,0.0,0.0,0.0,0.0,0.0,0.06369524786194372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.8073888026663107,2.4160441095390954,True,481.0,78.0,0
145,0.7834500034135348,0.0,0.02569321211618904,0.15136832381679735,0.039488460653478726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.400000000000001,2.8243573532944684,2.44232862700604,True,350.0,50.0,2
146,0.7834500034135348,0.0,0.02569321211618904,0.15136832381679735,0.039488460653478726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.400000000000001,2.8243573532944684,2.44232862700604,True,282.0,59.2,2
147,0.7830516404611412,0.0,0.02574047706191253,0.15164677929278467,0.039561103184161554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.400000000000001,2.8244205566974263,2.442320033600513,True,380.0,61.6,2
148,0.7829185269109328,0.0,0.02575627071111574,0.15173982558828208,0.03958537678966933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.400000000000001,2.824441676204907,2.442317162101767,True,515.0,47.8,2
149,0.7823844351948509,0.0,0.025819639595747946,0.15211315539249418,0.03968276981690694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.400000000000001,2.82452641403945,2.442305640782635,True,649.0,53.2,2
150,0.8534317252782583,0.0,0.0,0.14656827472174164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.000000000000001,2.8352895968890177,2.4436289296813998,True,456.0,64.0,0
151,0.8426134270987516,0.0,0.0,0.1497003531004491,0.0,0.007686219800799304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.625000000000001,2.838978330917522,2.4442025343419567,True,374.0,71.0,0
